s1,s2,s3,c1,c2,c3,rank
0.98,0.8,0.58,0.975,1,0.6625,50
0.840909091,0.977272727,0.727272727,0.7875,1,0.675,56
0.72,0.7,0.64,0.8,1,0.8,50
0.976190476,0.833333333,0.976190476,0.7875,1,1,58
0.911111111,0.777777778,0.666666667,0.925,1,0.8375,55
0.942307692,0.788461538,0.923076923,0.9,1,0.925,48
0.897959184,0.795918367,0.816326531,0.8875,1,0.8,51
0.886363636,0.886363636,0.886363636,0.8375,1,0.7625,56
0.909090909,0.931818182,1,0.9125,1,1,56
0.565217391,0.565217391,0.565217391,0.425,1,0.575,54
0.911111111,0.866666667,0.977777778,0.9125,1,0.9375,55
0.930232558,0.837209302,0.581395349,0.7375,1,0.625,57
0.928571429,0.785714286,0.714285714,1,1,0.825,58
0.902439024,0.902439024,0.536585366,0.9,1,0.7,59
0.914893617,0.872340426,0.872340426,0.925,1,0.8875,53
0.952380952,0.785714286,1,0.9125,1,0.975,58
0.955555556,0.8,0.777777778,0.95,1,0.775,55
0.869565217,0.847826087,0.782608696,0.85,1,0.9,54
0.979166667,0.854166667,0.645833333,0.95,1,0.825,52
1,0.844444444,0.711111111,0.7875,1,0.7375,55
0.888888889,0.866666667,0.933333333,0.85,1,0.9125,55
0.847826087,0.804347826,0.97826087,0.9,1,0.975,54
0.97826087,0.913043478,0.760869565,0.85,1,0.7625,54
0.893617021,0.829787234,0.957446809,0.975,1,0.975,53
0.893617021,0.872340426,0.978723404,1,1,0.9625,53
0.928571429,0.857142857,1,0.9,1,0.975,58
0.9375,0.875,0.791666667,0.9875,1,0.8875,52
0.897959184,0.816326531,0.755102041,0.975,1,0.825,51
0.955555556,0.911111111,0.333333333,0.95,1,0.65,55
0.829787234,0.829787234,0.744680851,0.7625,1,0.8125,53
0.863636364,0.886363636,0.545454545,0.9375,1,0.7,56
1,0.857142857,0.880952381,0.9125,1,0.925,58
0.925,0.775,1,0.875,1,0.95,60
0.909090909,0.863636364,1,0.8375,1,0.975,56
0.956521739,0.804347826,0.956521739,0.8875,1,0.9875,54
0.977272727,0.909090909,0.545454545,0.825,1,0.6625,56
1,0.782608696,0.956521739,0.9125,1,0.95,54
0.807692308,0.903846154,0.480769231,0.95,1,0.675,48
0.930232558,0.837209302,0.953488372,0.775,1,0.9625,57
0.977777778,0.911111111,0.466666667,0.9375,1,0.6375,55
0.87804878,0.829268293,0.975609756,0.9,1,0.925,59
1,0.84,0.9,0.85,1,0.8625,50
0.893617021,0.808510638,0.978723404,0.95,1,0.925,53
0.902439024,0.804878049,0.951219512,0.9375,1,0.9625,59
0.979591837,0.918367347,0.673469388,0.95,1,0.6625,51
0.921568627,0.882352941,0.960784314,0.875,1,0.8125,49
0.85106383,0.829787234,0.978723404,0.8875,1,0.9625,53
0.973684211,0.710526316,0.684210526,0.7625,1,0.875,62
1,0.860465116,0.976744186,0.9,1,1,57
0.85106383,0.808510638,0.617021277,0.8625,1,0.7,53
0.861111111,0.75,0.861111111,0.9125,1,0.8875,64
0.837209302,0.860465116,0.534883721,0.9625,1,0.8125,57
0.930232558,0.88372093,0.930232558,0.9,1,0.85,57
0.9,0.9,0.9,1,1,0.925,60
1,0.840909091,1,0.95,1,0.9625,56
0.880952381,0.857142857,0.738095238,0.85,1,0.6875,58
0.857142857,0.833333333,0.857142857,0.9125,1,0.9125,58
0.88372093,0.813953488,0.488372093,0.875,1,0.6,57
0.869565217,0.826086957,0.804347826,0.9375,1,0.975,54
1,0.94,1,0.95,1,0.9875,50
1,0.926829268,0.975609756,0.95,1,0.925,59
0.894736842,0.763157895,0.815789474,0.725,1,0.7625,62
0.931818182,0.818181818,0.568181818,0.975,1,0.7125,56
0.936170213,0.957446809,0.510638298,0.925,1,0.6625,53
0.911111111,0.888888889,1,0.975,1,1,55
0.82,0.82,0.52,0.875,1,0.7125,50
0.977272727,0.886363636,0.931818182,0.8625,1,0.9125,56
0.931818182,0.818181818,0.659090909,0.8625,1,0.6875,56
0.866666667,0.733333333,0.977777778,0.925,1,0.9625,55
0.863636364,0.818181818,1,0.925,1,0.9875,56
1,0.891304348,0.608695652,0.8625,1,0.675,54
1,0.866666667,0.977777778,0.9125,1,0.9625,55
1,0.902439024,1,1,1,1,59
0.95,0.85,0.975,0.9125,1,0.9375,60
0.673469388,0.897959184,0.795918367,0.9375,1,0.9375,51
0.979166667,0.770833333,0.75,0.8875,1,0.85,52
1,0.866666667,0.888888889,0.9625,1,0.8875,55
1,0.863636364,1,0.9375,1,0.9875,56
0.765957447,0.787234043,0.893617021,0.9,1,0.85,53
0.934782609,0.934782609,0.97826087,0.9125,1,0.975,54
0.977272727,0.818181818,1,0.825,1,0.975,56
1,0.88372093,1,1,1,1,57
0.977272727,0.840909091,0.409090909,0.7,1,0.65,56
0.790697674,0.720930233,0.627906977,0.7375,1,0.6125,57
0.891304348,0.869565217,0.52173913,0.8125,1,0.675,54
0.56097561,0.56097561,0.43902439,0.475,1,0.525,59
0.976744186,0.790697674,0.976744186,0.85,1,1,57
0.880952381,0.69047619,0.69047619,0.825,1,0.7,58
0.930232558,0.744186047,0.744186047,0.975,1,0.775,57
0.936170213,0.914893617,0.978723404,0.8375,1,0.9875,53
0.8,0.822222222,1,0.95,1,1,55
0.863636364,0.795454545,1,0.9,1,0.9875,56
0.953488372,0.860465116,0.976744186,0.9875,1,1,57
1,0.936170213,1,0.825,1,1,53
0.959183673,0.816326531,0.469387755,0.8875,1,0.675,51
0.93877551,0.897959184,0.979591837,0.9625,1,0.9625,51
0.869565217,0.826086957,0.826086957,0.825,1,0.8625,54
1,0.860465116,0.88372093,0.8875,1,0.8875,57
0.957446809,0.936170213,0.574468085,0.9875,1,0.65,53
0.871794872,0.846153846,0.769230769,0.9125,1,0.875,61
0.933333333,0.866666667,0.755555556,0.9875,1,0.725,55
0.914893617,0.744680851,0.680851064,0.9875,1,0.85,53
0.953488372,0.837209302,0.88372093,0.8375,1,0.9125,57
0.979591837,0.918367347,1,0.975,1,0.975,51
1,0.829268293,1,0.9125,1,1,59
0.869565217,0.913043478,0.869565217,0.9625,1,0.875,54
0.860465116,0.906976744,0.976744186,0.95,1,1,57
0.928571429,0.857142857,0.69047619,0.8,1,0.85,58
0.87804878,0.926829268,0.585365854,0.8875,1,0.675,59
0.954545455,0.931818182,0.954545455,0.8625,1,0.9875,56
1,0.913043478,0.934782609,0.8875,1,0.8875,54
0.918367347,0.857142857,0.714285714,0.9125,1,0.775,51
0.936170213,0.893617021,0.936170213,0.9625,1,0.925,53
1,0.808510638,0.787234043,0.85,1,0.8125,53
0.959183673,0.87755102,1,0.9875,1,0.9875,51
0.893617021,0.85106383,0.85106383,0.8375,1,0.8125,53
0.9375,0.8125,0.770833333,0.825,1,0.8375,52
0.840909091,0.931818182,0.818181818,0.85,1,0.7125,56
0.918367347,0.795918367,0.918367347,0.975,1,0.9,51
0.909090909,0.772727273,0.977272727,0.8625,1,1,56
0.869565217,0.760869565,0.934782609,0.825,1,0.775,54
0.886363636,0.886363636,0.863636364,0.8875,1,0.8125,56
0.931818182,0.772727273,0.477272727,0.6625,1,0.5625,56
0.765957447,0.893617021,0.510638298,0.75,1,0.625,53
0.955555556,0.888888889,0.8,0.9125,1,0.8375,55
0.9,0.825,1,0.875,1,0.9875,60
0.928571429,0.928571429,0.452380952,0.8375,1,0.625,58
0.891304348,0.782608696,1,1,1,1,54
0.958333333,0.895833333,0.9375,0.9875,1,0.975,52
0.977777778,0.844444444,0.955555556,0.95,1,0.95,55
0.795454545,0.931818182,0.886363636,0.975,1,0.9625,56
0.87804878,0.853658537,0.634146341,0.85,1,0.7375,59
0.930232558,0.88372093,0.674418605,0.7375,1,0.7,57
0.94,0.86,0.8,0.9875,1,0.8625,50
0.977272727,0.863636364,1,0.9125,1,0.9625,56
0.893617021,0.787234043,0.978723404,0.9625,1,0.95,53
0.837209302,0.837209302,0.976744186,0.9,1,0.975,57
1,0.772727273,1,0.75,1,1,56
0.9375,0.875,0.916666667,0.9375,1,0.9625,52
0.936170213,0.872340426,0.680851064,0.925,1,0.625,53
0.94,0.86,0.94,0.9625,1,0.9625,50
0.80952381,0.833333333,0.80952381,0.8875,1,0.8625,58
0.906976744,0.860465116,1,0.925,1,1,57
0.9,0.875,0.975,0.9375,1,1,60
0.916666667,0.875,0.791666667,0.825,1,0.9375,52
0.844444444,0.866666667,0.977777778,0.9375,1,0.9875,55
0.930232558,0.790697674,0.976744186,0.8625,1,0.9625,57
0.954545455,0.909090909,0.681818182,1,1,0.8125,56
0.833333333,0.738095238,0.928571429,0.85,1,0.8625,58
0.976190476,0.785714286,0.976190476,0.9,1,0.9,58
0.897959184,0.857142857,0.959183673,0.85,1,0.9625,51
0.470588235,0.725490196,0.470588235,0.575,1,0.575,49
0.978723404,0.893617021,0.936170213,0.925,1,0.975,53
0.976744186,0.906976744,0.790697674,0.9375,1,0.85,57
0.926829268,0.902439024,0.658536585,0.9375,1,0.6625,59
0.826086957,0.739130435,0.630434783,0.8125,1,0.775,54
0.956521739,0.804347826,0.891304348,0.9125,1,0.8875,54
0.891304348,0.869565217,0.97826087,0.9875,1,0.9875,54
0.926829268,0.829268293,0.975609756,0.8625,1,1,59
0.85106383,0.85106383,0.531914894,0.9625,1,0.725,53
0.8,0.888888889,0.644444444,0.8625,1,0.7125,55
0.9,0.825,0.925,0.8625,1,0.9375,60
0.928571429,0.785714286,0.904761905,0.9125,1,0.85,58
0.947368421,0.921052632,0.710526316,0.9625,1,0.725,62
0.875,0.9,0.975,0.95,1,0.9875,60
1,0.85106383,0.914893617,0.95,1,0.9375,53
1,0.8,1,0.8875,1,0.975,60
0.931818182,0.863636364,0.704545455,0.9875,1,0.7875,56
0.456521739,0.760869565,0.434782609,0.6125,1,0.6125,54
0.974358974,0.820512821,1,0.9625,1,0.975,61
0.886363636,0.886363636,0.772727273,0.9625,1,0.8625,56
0.891304348,0.869565217,0.652173913,0.9,1,0.7125,54
0.916666667,0.833333333,0.833333333,0.925,1,0.8875,52
0.948717949,0.897435897,0.769230769,0.7875,1,0.75,61
0.976744186,0.76744186,0.488372093,0.925,1,0.675,57
0.85106383,0.893617021,0.659574468,0.85,1,0.825,53
1,0.833333333,0.714285714,0.75,1,0.7875,58
1,0.860465116,0.674418605,0.9875,1,0.7875,57
0.933333333,0.8,0.688888889,0.9125,1,0.725,55
0.87755102,0.857142857,0.653061224,0.9625,1,0.75,51
0.875,0.7,0.875,0.9,1,0.85,60
0.608695652,0.760869565,0.608695652,0.675,1,0.675,54
0.911111111,0.733333333,0.911111111,0.9375,1,0.9875,55
0.955555556,0.844444444,0.822222222,1,1,0.825,55
0.909090909,0.886363636,0.727272727,0.8375,1,0.7375,56
0.977272727,0.863636364,0.477272727,0.975,1,0.6625,56
0.977777778,0.977777778,0.977777778,0.95,1,1,55
0.958333333,0.770833333,0.9375,0.9625,1,0.875,52
0.840909091,0.840909091,0.886363636,0.925,1,0.925,56
0.955555556,0.911111111,0.977777778,0.8125,1,1,55
0.844444444,0.822222222,0.622222222,0.7875,1,0.65,55
0.97826087,0.869565217,0.782608696,0.9875,1,0.8125,54
0.933333333,0.711111111,0.444444444,0.8375,1,0.7,55
0.942307692,0.788461538,0.769230769,0.9375,1,0.7875,48
0.895833333,0.9375,0.666666667,0.95,1,0.8,52
0.955555556,0.911111111,0.6,0.9,1,0.725,55
