n,m,k,e,eta,max_round,subsize,score
100,100,1,5.0,0.1,5000,1,0.95
100,100,1,5.0,0.1,5000,1,0.92
100,100,1,5.0,0.1,5000,1,0.89
100,100,1,5.0,0.1,5000,1,0.89
100,100,1,5.0,0.1,5000,1,1.0
100,100,1,5.0,0.1,5000,1,0.86
100,100,1,5.0,0.1,5000,1,0.95
100,100,1,5.0,0.1,5000,1,0.88
100,100,1,5.0,0.1,5000,1,0.86
100,100,1,5.0,0.1,5000,1,0.97
100,100,2,5.0,0.1,5000,1,0.52
100,100,2,5.0,0.1,5000,1,0.48
100,100,2,5.0,0.1,5000,1,0.52
100,100,2,5.0,0.1,5000,1,0.48
100,100,2,5.0,0.1,5000,1,0.52
100,100,2,5.0,0.1,5000,1,0.52
100,100,2,5.0,0.1,5000,1,0.52
100,100,2,5.0,0.1,5000,1,0.52
100,100,2,5.0,0.1,5000,1,0.48
100,100,2,5.0,0.1,5000,1,0.48
100,100,3,5.0,0.1,5000,1,0.49
100,100,3,5.0,0.1,5000,1,0.49
100,100,3,5.0,0.1,5000,1,0.49
100,100,3,5.0,0.1,5000,1,0.49
100,100,3,5.0,0.1,5000,1,0.49
100,100,3,5.0,0.1,5000,1,0.49
100,100,3,5.0,0.1,5000,1,0.49
100,100,3,5.0,0.1,5000,1,0.51
100,100,3,5.0,0.1,5000,1,0.51
100,100,3,5.0,0.1,5000,1,0.51
100,100,4,5.0,0.1,5000,1,0.52
100,100,4,5.0,0.1,5000,1,0.48
100,100,4,5.0,0.1,5000,1,0.52
100,100,4,5.0,0.1,5000,1,0.52
100,100,4,5.0,0.1,5000,1,0.52
100,100,4,5.0,0.1,5000,1,0.48
100,100,4,5.0,0.1,5000,1,0.48
100,100,4,5.0,0.1,5000,1,0.48
100,100,4,5.0,0.1,5000,1,0.52
100,100,4,5.0,0.1,5000,1,0.48
100,100,5,5.0,0.1,5000,1,0.49
100,100,5,5.0,0.1,5000,1,0.49
100,100,5,5.0,0.1,5000,1,0.49
100,100,5,5.0,0.1,5000,1,0.49
100,100,5,5.0,0.1,5000,1,0.49
100,100,5,5.0,0.1,5000,1,0.49
100,100,5,5.0,0.1,5000,1,0.51
100,100,5,5.0,0.1,5000,1,0.49
100,100,5,5.0,0.1,5000,1,0.49
100,100,5,5.0,0.1,5000,1,0.51
100,100,6,5.0,0.1,5000,1,0.49
100,100,6,5.0,0.1,5000,1,0.49
100,100,6,5.0,0.1,5000,1,0.51
100,100,6,5.0,0.1,5000,1,0.49
100,100,6,5.0,0.1,5000,1,0.51
100,100,6,5.0,0.1,5000,1,0.51
100,100,6,5.0,0.1,5000,1,0.49
100,100,6,5.0,0.1,5000,1,0.51
100,100,6,5.0,0.1,5000,1,0.51
100,100,6,5.0,0.1,5000,1,0.49
100,100,7,5.0,0.1,5000,1,0.48
100,100,7,5.0,0.1,5000,1,0.52
100,100,7,5.0,0.1,5000,1,0.48
100,100,7,5.0,0.1,5000,1,0.48
100,100,7,5.0,0.1,5000,1,0.48
100,100,7,5.0,0.1,5000,1,0.48
100,100,7,5.0,0.1,5000,1,0.52
100,100,7,5.0,0.1,5000,1,0.52
100,100,7,5.0,0.1,5000,1,0.48
100,100,7,5.0,0.1,5000,1,0.48
100,100,8,5.0,0.1,5000,1,0.5
100,100,8,5.0,0.1,5000,1,0.5
100,100,8,5.0,0.1,5000,1,0.5
100,100,8,5.0,0.1,5000,1,0.5
100,100,8,5.0,0.1,5000,1,0.5
100,100,8,5.0,0.1,5000,1,0.5
100,100,8,5.0,0.1,5000,1,0.5
100,100,8,5.0,0.1,5000,1,0.5
100,100,8,5.0,0.1,5000,1,0.5
100,100,8,5.0,0.1,5000,1,0.5
100,100,9,5.0,0.1,5000,1,0.43999999999999995
100,100,9,5.0,0.1,5000,1,0.56
100,100,9,5.0,0.1,5000,1,0.56
100,100,9,5.0,0.1,5000,1,0.56
100,100,9,5.0,0.1,5000,1,0.43999999999999995
100,100,9,5.0,0.1,5000,1,0.43999999999999995
100,100,9,5.0,0.1,5000,1,0.56
100,100,9,5.0,0.1,5000,1,0.43999999999999995
100,100,9,5.0,0.1,5000,1,0.43999999999999995
100,100,9,5.0,0.1,5000,1,0.56
100,100,10,5.0,0.1,5000,1,0.51
100,100,10,5.0,0.1,5000,1,0.51
100,100,10,5.0,0.1,5000,1,0.49
100,100,10,5.0,0.1,5000,1,0.49
100,100,10,5.0,0.1,5000,1,0.51
100,100,10,5.0,0.1,5000,1,0.49
100,100,10,5.0,0.1,5000,1,0.51
100,100,10,5.0,0.1,5000,1,0.49
100,100,10,5.0,0.1,5000,1,0.51
100,100,10,5.0,0.1,5000,1,0.51
