n,m,k,e,eta,max_round,subsize,score
100,100,1,2,0.1,5000,1,0.94
100,100,1,2,0.1,5000,1,1
100,100,1,2,0.1,5000,1,0.86
100,100,1,2,0.1,5000,1,1
100,100,1,2,0.1,5000,1,0.79
100,100,1,2,0.1,5000,1,0.94
100,100,1,2,0.1,5000,1,0.95
100,100,1,2,0.1,5000,1,0.84
100,100,1,2,0.1,5000,1,0.84
100,100,1,2,0.1,5000,1,0.96
100,100,2,2,0.1,5000,1,0.81
100,100,2,2,0.1,5000,1,0.85
100,100,2,2,0.1,5000,1,0.79
100,100,2,2,0.1,5000,1,0.73
100,100,2,2,0.1,5000,1,0.85
100,100,2,2,0.1,5000,1,0.59
100,100,2,2,0.1,5000,1,0.67
100,100,2,2,0.1,5000,1,0.7
100,100,2,2,0.1,5000,1,0.74
100,100,2,2,0.1,5000,1,0.84
100,100,3,2,0.1,5000,1,0.49
100,100,3,2,0.1,5000,1,0.77
100,100,3,2,0.1,5000,1,0.56
100,100,3,2,0.1,5000,1,0.6
100,100,3,2,0.1,5000,1,0.57
100,100,3,2,0.1,5000,1,0.87
100,100,3,2,0.1,5000,1,0.72
100,100,3,2,0.1,5000,1,0.77
100,100,3,2,0.1,5000,1,0.67
100,100,3,2,0.1,5000,1,0.57
100,100,4,2,0.1,5000,1,0.84
100,100,4,2,0.1,5000,1,0.55
100,100,4,2,0.1,5000,1,0.57
100,100,4,2,0.1,5000,1,0.74
100,100,4,2,0.1,5000,1,0.66
100,100,4,2,0.1,5000,1,0.68
100,100,4,2,0.1,5000,1,0.67
100,100,4,2,0.1,5000,1,0.51
100,100,4,2,0.1,5000,1,0.67
100,100,4,2,0.1,5000,1,0.64
100,100,5,2,0.1,5000,1,0.65
100,100,5,2,0.1,5000,1,0.84
100,100,5,2,0.1,5000,1,0.62
100,100,5,2,0.1,5000,1,0.65
100,100,5,2,0.1,5000,1,0.55
100,100,5,2,0.1,5000,1,0.55
100,100,5,2,0.1,5000,1,0.71
100,100,5,2,0.1,5000,1,0.58
100,100,5,2,0.1,5000,1,0.57
100,100,5,2,0.1,5000,1,0.75
100,100,6,2,0.1,5000,1,0.59
100,100,6,2,0.1,5000,1,0.5
100,100,6,2,0.1,5000,1,0.69
100,100,6,2,0.1,5000,1,0.51
100,100,6,2,0.1,5000,1,0.54
100,100,6,2,0.1,5000,1,0.57
100,100,6,2,0.1,5000,1,0.54
100,100,6,2,0.1,5000,1,0.58
100,100,6,2,0.1,5000,1,0.58
100,100,6,2,0.1,5000,1,0.67
100,100,7,2,0.1,5000,1,0.52
100,100,7,2,0.1,5000,1,0.62
100,100,7,2,0.1,5000,1,0.59
100,100,7,2,0.1,5000,1,0.57
100,100,7,2,0.1,5000,1,0.52
100,100,7,2,0.1,5000,1,0.59
100,100,7,2,0.1,5000,1,0.54
100,100,7,2,0.1,5000,1,0.57
100,100,7,2,0.1,5000,1,0.63
100,100,7,2,0.1,5000,1,0.66
100,100,8,2,0.1,5000,1,0.61
100,100,8,2,0.1,5000,1,0.68
100,100,8,2,0.1,5000,1,0.53
100,100,8,2,0.1,5000,1,0.58
100,100,8,2,0.1,5000,1,0.59
100,100,8,2,0.1,5000,1,0.55
100,100,8,2,0.1,5000,1,0.73
100,100,8,2,0.1,5000,1,0.56
100,100,8,2,0.1,5000,1,0.9
100,100,8,2,0.1,5000,1,0.5
100,100,9,2,0.1,5000,1,0.66
100,100,9,2,0.1,5000,1,0.63
100,100,9,2,0.1,5000,1,0.71
100,100,9,2,0.1,5000,1,0.61
100,100,9,2,0.1,5000,1,0.57
100,100,9,2,0.1,5000,1,0.66
100,100,9,2,0.1,5000,1,0.54
100,100,9,2,0.1,5000,1,0.62
100,100,9,2,0.1,5000,1,0.6
100,100,9,2,0.1,5000,1,0.58
100,100,10,2,0.1,5000,1,0.55
100,100,10,2,0.1,5000,1,0.56
100,100,10,2,0.1,5000,1,0.57
100,100,10,2,0.1,5000,1,0.7
100,100,10,2,0.1,5000,1,0.59
100,100,10,2,0.1,5000,1,0.57
100,100,10,2,0.1,5000,1,0.71
100,100,10,2,0.1,5000,1,0.67
100,100,10,2,0.1,5000,1,0.6
100,100,10,2,0.1,5000,1,0.65
