n,m,k,e,eta,max_round,subsize,score
100,100,1,5,0.01,5000,1,0.91
100,100,1,5,0.01,5000,1,0.95
100,100,1,5,0.01,5000,1,0.92
100,100,1,5,0.01,5000,1,0.98
100,100,1,5,0.01,5000,1,0.91
100,100,1,5,0.01,5000,1,0.92
100,100,1,5,0.01,5000,1,0.98
100,100,1,5,0.01,5000,1,0.98
100,100,1,5,0.01,5000,1,0.9
100,100,1,5,0.01,5000,1,0.97
100,100,2,5,0.01,5000,1,0.61
100,100,2,5,0.01,5000,1,0.6
100,100,2,5,0.01,5000,1,0.55
100,100,2,5,0.01,5000,1,0.64
100,100,2,5,0.01,5000,1,0.64
100,100,2,5,0.01,5000,1,0.59
100,100,2,5,0.01,5000,1,0.7
100,100,2,5,0.01,5000,1,0.69
100,100,2,5,0.01,5000,1,0.58
100,100,2,5,0.01,5000,1,0.61
100,100,3,5,0.01,5000,1,0.45
100,100,3,5,0.01,5000,1,0.49
100,100,3,5,0.01,5000,1,0.56
100,100,3,5,0.01,5000,1,0.6
100,100,3,5,0.01,5000,1,0.59
100,100,3,5,0.01,5000,1,0.58
100,100,3,5,0.01,5000,1,0.76
100,100,3,5,0.01,5000,1,0.71
100,100,3,5,0.01,5000,1,0.45
100,100,3,5,0.01,5000,1,0.88
100,100,4,5,0.01,5000,1,0.46
100,100,4,5,0.01,5000,1,0.57
100,100,4,5,0.01,5000,1,0.46
100,100,4,5,0.01,5000,1,0.6
100,100,4,5,0.01,5000,1,0.45
100,100,4,5,0.01,5000,1,0.57
100,100,4,5,0.01,5000,1,0.54
100,100,4,5,0.01,5000,1,0.62
100,100,4,5,0.01,5000,1,0.58
100,100,4,5,0.01,5000,1,0.54
100,100,5,5,0.01,5000,1,0.58
100,100,5,5,0.01,5000,1,0.52
100,100,5,5,0.01,5000,1,0.52
100,100,5,5,0.01,5000,1,0.59
100,100,5,5,0.01,5000,1,0.7
100,100,5,5,0.01,5000,1,0.65
100,100,5,5,0.01,5000,1,0.52
100,100,5,5,0.01,5000,1,0.54
100,100,5,5,0.01,5000,1,0.52
100,100,5,5,0.01,5000,1,0.48
100,100,6,5,0.01,5000,1,0.61
100,100,6,5,0.01,5000,1,0.5
100,100,6,5,0.01,5000,1,0.51
100,100,6,5,0.01,5000,1,0.5
100,100,6,5,0.01,5000,1,0.52
100,100,6,5,0.01,5000,1,0.51
100,100,6,5,0.01,5000,1,0.51
100,100,6,5,0.01,5000,1,0.47
100,100,6,5,0.01,5000,1,0.67
100,100,6,5,0.01,5000,1,0.5
100,100,7,5,0.01,5000,1,0.52
100,100,7,5,0.01,5000,1,0.48
100,100,7,5,0.01,5000,1,0.53
100,100,7,5,0.01,5000,1,0.48
100,100,7,5,0.01,5000,1,0.52
100,100,7,5,0.01,5000,1,0.6
100,100,7,5,0.01,5000,1,0.5
100,100,7,5,0.01,5000,1,0.53
100,100,7,5,0.01,5000,1,0.59
100,100,7,5,0.01,5000,1,0.48
100,100,8,5,0.01,5000,1,0.56
100,100,8,5,0.01,5000,1,0.49
100,100,8,5,0.01,5000,1,0.63
100,100,8,5,0.01,5000,1,0.54
100,100,8,5,0.01,5000,1,0.52
100,100,8,5,0.01,5000,1,0.47
100,100,8,5,0.01,5000,1,0.5
100,100,8,5,0.01,5000,1,0.53
100,100,8,5,0.01,5000,1,0.53
100,100,8,5,0.01,5000,1,0.47
100,100,9,5,0.01,5000,1,0.52
100,100,9,5,0.01,5000,1,0.5
100,100,9,5,0.01,5000,1,0.5
100,100,9,5,0.01,5000,1,0.62
100,100,9,5,0.01,5000,1,0.5
100,100,9,5,0.01,5000,1,0.5
100,100,9,5,0.01,5000,1,0.5
100,100,9,5,0.01,5000,1,0.5
100,100,9,5,0.01,5000,1,0.5
100,100,9,5,0.01,5000,1,0.56
100,100,10,5,0.01,5000,1,0.53
100,100,10,5,0.01,5000,1,0.47
100,100,10,5,0.01,5000,1,0.47
100,100,10,5,0.01,5000,1,0.48
100,100,10,5,0.01,5000,1,0.53
100,100,10,5,0.01,5000,1,0.47
100,100,10,5,0.01,5000,1,0.55
100,100,10,5,0.01,5000,1,0.53
100,100,10,5,0.01,5000,1,0.54
100,100,10,5,0.01,5000,1,0.47
