n,m,k,e,eta,max_round,subsize,score
100,100,1,5,0.1,5000,1,0.87
100,100,1,5,0.1,5000,1,0.86
100,100,1,5,0.1,5000,1,0.97
100,100,1,5,0.1,5000,1,0.87
100,100,1,5,0.1,5000,1,0.99
100,100,1,5,0.1,5000,1,0.97
100,100,1,5,0.1,5000,1,0.95
100,100,1,5,0.1,5000,1,0.94
100,100,1,5,0.1,5000,1,0.99
100,100,1,5,0.1,5000,1,0.92
100,100,1,5,0.1,5000,1,0.86
100,100,1,5,0.1,5000,1,0.91
100,100,1,5,0.1,5000,1,0.97
100,100,1,5,0.1,5000,1,0.98
100,100,1,5,0.1,5000,1,0.94
100,100,1,5,0.1,5000,1,1
100,100,1,5,0.1,5000,1,0.88
100,100,1,5,0.1,5000,1,0.92
100,100,1,5,0.1,5000,1,0.85
100,100,1,5,0.1,5000,1,0.92
100,100,1,5,0.1,5000,1,0.98
100,100,1,5,0.1,5000,1,0.97
100,100,1,5,0.1,5000,1,0.9
100,100,1,5,0.1,5000,1,0.92
100,100,1,5,0.1,5000,1,0.97
100,100,1,5,0.1,5000,1,0.82
100,100,1,5,0.1,5000,1,1
100,100,1,5,0.1,5000,1,0.85
100,100,1,5,0.1,5000,1,0.84
100,100,1,5,0.1,5000,1,0.88
100,100,1,5,0.1,5000,1,1
100,100,1,5,0.1,5000,1,0.99
100,100,1,5,0.1,5000,1,0.97
100,100,1,5,0.1,5000,1,0.92
100,100,1,5,0.1,5000,1,0.96
100,100,1,5,0.1,5000,1,0.85
100,100,1,5,0.1,5000,1,0.97
100,100,1,5,0.1,5000,1,0.92
100,100,1,5,0.1,5000,1,0.87
100,100,1,5,0.1,5000,1,0.95
100,100,1,5,0.1,5000,1,0.86
100,100,1,5,0.1,5000,1,0.87
100,100,1,5,0.1,5000,1,1
100,100,1,5,0.1,5000,1,0.98
100,100,1,5,0.1,5000,1,0.92
100,100,1,5,0.1,5000,1,0.92
100,100,1,5,0.1,5000,1,0.76
100,100,1,5,0.1,5000,1,0.8
100,100,1,5,0.1,5000,1,0.89
100,100,1,5,0.1,5000,1,0.87
100,100,1,5,0.1,5000,2,0.87
100,100,1,5,0.1,5000,2,0.85
100,100,1,5,0.1,5000,2,0.77
100,100,1,5,0.1,5000,2,0.97
100,100,1,5,0.1,5000,2,0.87
100,100,1,5,0.1,5000,2,0.92
100,100,1,5,0.1,5000,2,0.92
100,100,1,5,0.1,5000,2,0.98
100,100,1,5,0.1,5000,2,1
100,100,1,5,0.1,5000,2,0.98
100,100,1,5,0.1,5000,2,0.84
100,100,1,5,0.1,5000,2,0.85
100,100,1,5,0.1,5000,2,0.92
100,100,1,5,0.1,5000,2,0.87
100,100,1,5,0.1,5000,2,1
100,100,1,5,0.1,5000,2,0.95
100,100,1,5,0.1,5000,2,0.85
100,100,1,5,0.1,5000,2,0.92
100,100,1,5,0.1,5000,2,0.86
100,100,1,5,0.1,5000,2,0.92
100,100,1,5,0.1,5000,2,0.79
100,100,1,5,0.1,5000,2,0.82
100,100,1,5,0.1,5000,2,1
100,100,1,5,0.1,5000,2,0.84
100,100,1,5,0.1,5000,2,0.8
100,100,1,5,0.1,5000,2,0.98
100,100,1,5,0.1,5000,2,0.78
100,100,1,5,0.1,5000,2,0.92
100,100,1,5,0.1,5000,2,0.87
100,100,1,5,0.1,5000,2,0.87
100,100,1,5,0.1,5000,2,0.97
100,100,1,5,0.1,5000,2,0.87
100,100,1,5,0.1,5000,2,0.96
100,100,1,5,0.1,5000,2,0.92
100,100,1,5,0.1,5000,2,0.84
100,100,1,5,0.1,5000,2,0.85
100,100,1,5,0.1,5000,2,0.82
100,100,1,5,0.1,5000,2,0.87
100,100,1,5,0.1,5000,2,0.77
100,100,1,5,0.1,5000,2,0.84
100,100,1,5,0.1,5000,2,0.92
100,100,1,5,0.1,5000,2,0.76
100,100,1,5,0.1,5000,2,0.98
100,100,1,5,0.1,5000,2,0.86
100,100,1,5,0.1,5000,2,0.97
100,100,1,5,0.1,5000,2,0.83
100,100,1,5,0.1,5000,2,0.87
100,100,1,5,0.1,5000,2,0.85
100,100,1,5,0.1,5000,2,0.92
100,100,1,5,0.1,5000,2,0.85
100,100,1,5,0.1,5000,3,0.87
100,100,1,5,0.1,5000,3,0.97
100,100,1,5,0.1,5000,3,1
100,100,1,5,0.1,5000,3,0.96
100,100,1,5,0.1,5000,3,0.89
100,100,1,5,0.1,5000,3,0.91
100,100,1,5,0.1,5000,3,0.9
100,100,1,5,0.1,5000,3,0.92
100,100,1,5,0.1,5000,3,0.86
100,100,1,5,0.1,5000,3,0.85
100,100,1,5,0.1,5000,3,0.99
100,100,1,5,0.1,5000,3,1
100,100,1,5,0.1,5000,3,0.89
100,100,1,5,0.1,5000,3,0.97
100,100,1,5,0.1,5000,3,0.98
100,100,1,5,0.1,5000,3,0.98
100,100,1,5,0.1,5000,3,0.98
100,100,1,5,0.1,5000,3,0.92
100,100,1,5,0.1,5000,3,0.91
100,100,1,5,0.1,5000,3,0.76
100,100,1,5,0.1,5000,3,0.92
100,100,1,5,0.1,5000,3,0.86
100,100,1,5,0.1,5000,3,0.94
100,100,1,5,0.1,5000,3,0.87
100,100,1,5,0.1,5000,3,0.98
100,100,1,5,0.1,5000,3,0.87
100,100,1,5,0.1,5000,3,0.95
100,100,1,5,0.1,5000,3,0.92
100,100,1,5,0.1,5000,3,0.85
100,100,1,5,0.1,5000,3,0.9
100,100,1,5,0.1,5000,3,1
100,100,1,5,0.1,5000,3,0.9
100,100,1,5,0.1,5000,3,0.94
100,100,1,5,0.1,5000,3,0.9
100,100,1,5,0.1,5000,3,0.76
100,100,1,5,0.1,5000,3,0.95
100,100,1,5,0.1,5000,3,0.97
100,100,1,5,0.1,5000,3,0.88
100,100,1,5,0.1,5000,3,0.83
100,100,1,5,0.1,5000,3,0.81
100,100,1,5,0.1,5000,3,0.73
100,100,1,5,0.1,5000,3,0.79
100,100,1,5,0.1,5000,3,0.82
100,100,1,5,0.1,5000,3,0.83
100,100,1,5,0.1,5000,3,0.97
100,100,1,5,0.1,5000,3,0.99
100,100,1,5,0.1,5000,3,0.85
100,100,1,5,0.1,5000,3,1
100,100,1,5,0.1,5000,3,0.92
100,100,1,5,0.1,5000,3,0.79
100,100,1,5,0.1,5000,4,0.91
100,100,1,5,0.1,5000,4,0.92
100,100,1,5,0.1,5000,4,0.8
100,100,1,5,0.1,5000,4,0.95
100,100,1,5,0.1,5000,4,0.9
100,100,1,5,0.1,5000,4,0.99
100,100,1,5,0.1,5000,4,0.97
100,100,1,5,0.1,5000,4,0.96
100,100,1,5,0.1,5000,4,0.96
100,100,1,5,0.1,5000,4,0.97
100,100,1,5,0.1,5000,4,0.97
100,100,1,5,0.1,5000,4,0.83
100,100,1,5,0.1,5000,4,1
100,100,1,5,0.1,5000,4,0.92
100,100,1,5,0.1,5000,4,0.85
100,100,1,5,0.1,5000,4,0.97
100,100,1,5,0.1,5000,4,0.85
100,100,1,5,0.1,5000,4,0.92
100,100,1,5,0.1,5000,4,0.92
100,100,1,5,0.1,5000,4,1
100,100,1,5,0.1,5000,4,0.85
100,100,1,5,0.1,5000,4,0.95
100,100,1,5,0.1,5000,4,1
100,100,1,5,0.1,5000,4,1
100,100,1,5,0.1,5000,4,0.92
100,100,1,5,0.1,5000,4,0.81
100,100,1,5,0.1,5000,4,0.9
100,100,1,5,0.1,5000,4,0.99
100,100,1,5,0.1,5000,4,0.91
100,100,1,5,0.1,5000,4,0.82
100,100,1,5,0.1,5000,4,0.97
100,100,1,5,0.1,5000,4,0.98
100,100,1,5,0.1,5000,4,0.96
100,100,1,5,0.1,5000,4,0.82
100,100,1,5,0.1,5000,4,0.95
100,100,1,5,0.1,5000,4,0.9
100,100,1,5,0.1,5000,4,0.83
100,100,1,5,0.1,5000,4,0.86
100,100,1,5,0.1,5000,4,1
100,100,1,5,0.1,5000,4,0.92
100,100,1,5,0.1,5000,4,1
100,100,1,5,0.1,5000,4,0.86
100,100,1,5,0.1,5000,4,0.94
100,100,1,5,0.1,5000,4,0.95
100,100,1,5,0.1,5000,4,0.87
100,100,1,5,0.1,5000,4,0.82
100,100,1,5,0.1,5000,4,1
